arm,intensity,group,step,cet1_pct,lcr_pct,n_banks
S,0.1,ES,9,12.5147338679258,29.1164694133429,6
S,0.1,ES,10,12.5221324625137,29.0134001511404,6
S,0.1,ES,11,12.5290674329515,28.9044384829962,6
S,0.1,ES,12,12.5353519737688,28.7901033058087,6
S,0.1,ES,13,12.5408691757449,28.6709142216075,6
S,0.1,ES,14,12.5455829096268,28.5473919347787,6
S,0.1,FR,0,14.2115768057503,20.0151935547451,5
S,0.1,FR,1,14.10693779199,20.0285377106169,5
S,0.1,FR,2,14.0405702189997,20.0502189817701,5
S,0.1,FR,3,13.9797507969666,20.0562264049206,5
S,0.1,FR,4,13.9258806003614,20.0184021709125,5
S,0.1,FR,5,13.8897423657344,19.9504610043778,5
S,0.1,FR,6,13.8751830929695,19.8684812558472,5
S,0.1,FR,7,13.8695168197143,19.7774139527453,5
S,0.1,FR,8,13.8446022592776,19.6724110512839,5
S,0.1,FR,9,13.8343805682558,19.559006944911,5
S,0.1,FR,10,13.8249681945434,19.4381593693907,5
S,0.1,FR,11,13.8173399466568,19.3111318850262,5
S,0.1,FR,12,13.810991633298,19.1791726566089,5
S,0.1,FR,13,13.8055581513912,19.0435077391641,5
S,0.1,FR,14,13.8009983140032,18.9053681145131,5
S,0.1,GR,0,13.417967431686,25.5693524066213,4
S,0.1,GR,1,13.4174171171077,25.5197765240629,4
S,0.1,GR,2,13.4170625988501,25.4541062793171,4
S,0.1,GR,3,13.4165173210674,25.3727628151808,4
S,0.1,GR,4,13.4157762313709,25.2762814245282,4
S,0.1,GR,5,13.4148669628612,25.1653067738053,4
S,0.1,GR,6,13.4146277946401,25.0407607351007,4
S,0.1,GR,7,13.414521360312,24.903562750234,4
S,0.1,GR,8,13.4144062882991,24.7546763450853,4
S,0.1,GR,9,13.4142919908938,24.5951132311139,4
S,0.1,GR,10,13.414173142102,24.425910601833,4
S,0.1,GR,11,13.4141335933802,24.2481390100845,4
S,0.1,GR,12,13.41413288982,24.0647079067295,4
S,0.1,GR,13,13.414132269987,23.8869149826941,4
S,0.1,GR,14,13.4141317369357,23.7143659555349,4
S,0.1,IT,0,15.0162444140534,37.152739737311,7
S,0.1,IT,1,14.9750749811223,37.1465483638625,7
S,0.1,IT,2,14.9466932989544,37.1419395002335,7
S,0.1,IT,3,14.9213812103046,37.137957614828,7
S,0.1,IT,4,14.8972290235982,37.1336508926051,7
S,0.1,IT,5,14.8794604076406,37.1303750747801,7
S,0.1,IT,6,14.8666872828202,37.1277345230166,7
S,0.1,IT,7,14.8553951929481,37.1254525943191,7
S,0.1,IT,8,14.8454561240222,37.1234580520024,7
S,0.1,IT,9,14.8409793440486,37.1225505413787,7
S,0.1,IT,10,14.8367814686661,37.1217058107362,7
S,0.1,IT,11,14.8331892168811,37.1209610803015,7
S,0.1,IT,12,14.8301004047155,37.1203167390896,7
S,0.1,IT,13,14.8274222199854,37.1197580122471,7
S,0.1,IT,14,14.8251505299518,37.1192841096193,7
S,0.1,NL,0,17.2262118737104,22.3126150197265,5
S,0.1,NL,1,17.2177339456519,22.3116648054026,5
S,0.1,NL,2,17.2109424973789,22.3108606718938,5
S,0.1,NL,3,17.2035425990956,22.3099361191135,5
S,0.1,NL,4,17.1957724849033,22.3089673991171,5
