arm,intensity,intensity_num,n_runs,eq_init_sys,eq_t0_sys,eq_frozen_sys,eq_zero_sys,eq_loss_resid_pct,eq_loss_frozen_pct,njc_bn,eq_t0,eq_final,n_defaults_ill,n_defaults_ins,prompted_liq_bn,repo_pledged_bn,cb_pledged_bn,eq_loss_pct,n_defaults,eq_init_sys_se,eq_t0_sys_se,eq_frozen_sys_se,eq_zero_sys_se,eq_loss_resid_pct_se,eq_loss_frozen_pct_se,njc_bn_se,eq_t0_se,eq_final_se,n_defaults_ill_se,n_defaults_ins_se,prompted_liq_bn_se,repo_pledged_bn_se,cb_pledged_bn_se,eq_loss_pct_se,n_defaults_se,arm_label,intensity_norm
mask_SURC,0.1,0.1,10,1178459608115.54,1153542053755.65,1149631061348,1149631061348,0.339042031013235,0.339042031013235,0,1153542053755.65,1149631061348,0,0,24.2099800491978,12.9084042766868,26.2406148833937,0.339042031013188,0,0,0,5436821.73245469,5436821.73245469,0.000471315433603289,0.000471315433603289,0,0,5436821.73244086,0,0,0.0529354381308972,0.767338939543288,0.0671062002499287,0.000471315433602091,0,S+U+R+C (+ CB),0.1
mask_SURC,0.2,0.2,10,1178459608115.54,1128624499395.75,1121945255594.12,1121945255594.12,0.591803899809494,0.591803899809494,0,1128624499395.75,1121945255594.12,0,0,26.9662867208227,16.1404570824988,29.1785442182466,0.591803899809522,0,0,0,185102878.35876,185102878.35876,0.0164007496255718,0.0164007496255718,0,0,185102878.35877,0,0,0.142565686804707,0.911461167303107,0.220564918504906,0.0164007496255726,0,S+U+R+C (+ CB),0.2
mask_SURC,0.3,0.3,10,1178459608115.54,1103706945035.86,1095765257587.74,1091233615211.33,1.13013059133375,0.719546749600726,23.2555922118623,1103706945035.86,1091233615211.33,1,0,25.9982527124112,18.1088871391349,29.9549765939287,1.13013059133372,1,0,0,8148665.43251521,8123356.91828383,0.000736006686813041,0.00073829973338171,0.155968002421966,0,8123356.91830553,0,0,0.148820482161631,0.548979241786548,0.456339098037612,0.000736006686815002,0,S+U+R+C (+ CB),0.3
mask_SURC,0.4,0.4,10,1178459608115.54,1078789390675.97,1062999451592.35,1052250481645.18,2.4600639624531,1.46367207724606,52.7648013782037,1078789390675.97,1052250481645.18,2,0,42.9768995170564,18.8040606210387,51.8490631504578,2.46006396245312,2,0,0,12411369.3470682,12368013.5025873,0.00114647155501198,0.00115049049001967,0.120240057704231,0,12368013.5025453,0,0,0.203235677514418,1.14582139932848,0.853129888995938,0.00114647155500812,0,S+U+R+C (+ CB),0.4
mask_SURC,0.5,0.5,10,1178459608115.54,1053871836316.07,1036934064590.69,933573121152.274,11.414928363995,1.60719464565904,735.685170103211,1053871836316.07,933573121152.274,3.8,0,42.2159211066021,20.4927288021673,68.3460322206429,11.414928363995,3.8,0,0,14686779.0512168,22086729554.4677,2.09576997822376,0.00139360200596651,148.709923607616,0,22086729554.4677,0.2,0,2.53204069345292,0.816848581867736,1.17724103028889,2.09576997822376,0.2,S+U+R+C (+ CB),0.5
mask_SURC,0.6,0.6,10,1178459608115.54,1028954281956.18,1011645315287.36,827604092482.21,19.5684291328451,1.68219006153615,1318.66388573817,1028954281956.18,827604092482.21,6.3,0,50.6316933614292,19.8713360865981,114.853186871333,19.5684291328451,6.3,0,0,10523086.7679783,20077455818.4475,1.95124858028459,0.00102269721332735,144.62014048246,0,20077455818.4474,0.260341655863555,0,7.6516549095427,0.293143592438905,6.63997513996035,1.95124858028459,0.260341655863555,S+U+R+C (+ CB),0.6
mask_SURC,0.7,0.7,10,1178459608115.54,1004036727596.29,986830671856.425,692700201457.817,31.0084798276079,1.71368788281807,2277.58861979019,1004036727596.29,692700201457.817,8.9,0,49.872116495342,0,155.296175952029,31.0084798276079,8.9,0,0,10519900.33813,19411870045.8441,1.93338246622881,0.00104776051004779,128.706178620979,0,19411870045.8441,0.378593889720018,0,8.92317709687893,0,10.1019663749307,1.93338246622881,0.378593889720018,S+U+R+C (+ CB),0.7
mask_SURC,0.8,0.8,10,1178459608115.54,979119173236.392,961727798754.716,578349440706.223,40.9316601579213,1.77622652656169,2910.5469237364,979119173236.392,578349440706.223,12.7,0,58.6075943652441,0,238.523408716875,40.9316601579213,12.7,0,0,11594599.5022708,11102108918.9909,1.13388739823099,0.00118418674857994,72.727893739419,0,11102108918.9909,0.3,0,7.37279667117198,0,6.06027439793286,1.13388739823099,0.3,S+U+R+C (+ CB),0.8
mask_SURC,0.9,0.9,10,1178459608115.54,954201618876.499,936872008682.565,503847985162.495,47.1969052247325,1.81613716127809,3355.49506788735,954201618876.498,503847985162.495,16.4,0,55.302177624322,0,273.357535168972,47.1969052247325,16.4,0,0,19916457.6512583,18628887979.117,1.95230102428994,0.00208723788109984,134.78024943908,0,18628887979.117,0.476095228569523,0,12.8952023958673,0,9.24979764493763,1.95230102428993,0.476095228569523,S+U+R+C (+ CB),0.9
mask_SURC,1,1,10,1178459608115.54,929284064516.605,912090908188.65,479275271395.597,48.4253212019829,1.8501507756833,3425.90349362638,929284064516.605,479275271395.597,16.3,0,51.5172991455738,0,294.856564737875,48.4253212019829,16.3,0,0,14672764.7506521,12583585355.7864,1.35411612404353,0.00157893213828912,102.078317017219,0,12583585355.7864,0.3,0,11.2294707579909,0,17.2408345401992,1.35411612404352,0.3,S+U+R+C (+ CB),1
